response_set_id,parent_response_set_id,date,time,page,user,branch,desk,library,Contact Type,Contact Type (text),Transaction Duration,Transaction Duration (text),Transaction Type,Transaction Type (text),User Type,User Type (text),Referral,Referral (text),Notes
3321212,,1/25/2019,8:31:43,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,0-5 minutes,,Reference,IAS,Faculty,,Not Referred,,
3321662,,1/28/2019,13:50:22,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,6-10 minutes,,Reference,Economics overview,Undergraduate,,Not Referred,,
3322132,,1/31/2019,15:43:12,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,6-10 minutes,,Reference,Economics textile data,Undergraduate,,Not Referred,,how to choose commodity codes
3322661,,2/4/2019,16:25:44,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,Appointment,,16-30 minutes,,Reference,IAS,Faculty,,Not Referred,,Intro to Twin Cities Library resources
3323237,,2/7/2019,8:55:26,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,0-5 minutes,,Reference,Economics study help,Undergraduate,,Not Referred,,
3323829,,2/8/2019,12:55:01,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,16-30 minutes,,Reference,Economics pesticide data,Undergraduate,,Not Referred,,ECON 4431W; US Canada pesticide trade
3324110,,2/11/2019,13:43:20,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,6-10 minutes,,Reference,Economics book purchase,Faculty,,Not Referred,,potential book purchase for a class
3325608,,2/15/2019,12:40:00,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,0-5 minutes,,Reference,Economics Apple data,Undergraduate,,Not Referred,,"ECON 4431W; US Canada; Apple production, employment, wages; UNIDO, BLS, StatCan"
3325537,,2/18/2019,8:44:00,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,11-15 minutes,,Reference,Economics cantaloupe data,Undergraduate,,Not Referred,,"ECON 4431W; cantaloupe imports for Mexico, global, US, Canada; FAOSTAT"
3325607,,2/18/2019,12:39:00,Activity,jmcburne,Liaison,Liaison Reference,University of Minnesota,E-mail,,6-10 minutes,,Reference,Economics tea data,Undergraduate,,Not Referred,,"ECON 4431W; US Canada; tea industry employment and wages; UNIDO, BLS, StatCan"
